Model,Year_of_Manufacture,Number_of_Engines,Capacity,Range_(km),Fuel_Consumption_(L/hour),Hourly_Maintenance_Cost_($),Age,Sales_Region,Price_($),HMC_per_person,Cost_per_km,Engine_Type_Piston,Engine_Type_Turbofan,Company_Airbus,Company_Boeing,Company_Bombardier,Company_Cessna
0.8,0.16279069767442422,1.0,0.11734693877551021,3000,0.25766103814884306,0.3745655207972194,0.8372093023255814,0.2,0.012996311849399176,0.0340042216661003,0.06665686754755235,0.0,1.0,0.0,0.0,1.0,0.0
0.8,0.3953488372093048,1.0,0.11734693877551021,3000,0.042318115488847195,0.15602581539856522,0.6046511627906977,0.6000000000000001,0.014076988523668696,0.01824630513166631,0.07228573475552895,0.0,1.0,0.0,0.0,1.0,0.0
0.0,0.1860465116279073,1.0,0.44897959183673464,6300,0.2347300396080884,0.058084646771741744,0.813953488372093,0.4,0.09262130584060069,0.002372440785644676,0.22828639988892332,0.0,1.0,1.0,0.0,0.0,0.0
0.4,1.0,1.0,0.40306122448979587,5700,0.26287262872628725,0.020581646531722536,0.0,0.4,0.13957511787866603,0.0019143907444065175,0.38122632785759175,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.11627906976744384,0.0,0.0,1285,0.3437565144882218,0.832504378128028,0.8837209302325582,1.0,5.928355160341267e-05,0.8494937490914009,0.0007209042178289733,1.0,0.0,0.0,0.0,0.0,1.0
0.2,0.04651162790698038,1.0,0.8826530612244897,14800,0.14217219095267875,0.3042621187472776,0.9534883720930233,0.2,0.36278766985692257,0.0032621082625611834,0.3813784574477293,0.0,1.0,1.0,0.0,0.0,0.0
0.4,0.30232558139535115,1.0,0.40306122448979587,5700,0.07900771315405461,0.43197455796463724,0.6976744186046512,0.6000000000000001,0.05816215831857368,0.011069852156931684,0.15804124329404093,0.0,1.0,0.0,1.0,0.0,0.0
1.0,0.8837209302325633,0.0,0.0,1285,0.47217010631644774,0.29216337306984563,0.11627906976744187,0.2,0.00025656273427493014,0.36247421399668966,0.003119873089146774,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.27906976744186096,0.0,0.0,1285,0.8215551386283093,0.45610093251904593,0.7209302325581396,0.4,7.088437772178094e-05,0.5102342270997376,0.000861973439440028,1.0,0.0,0.0,0.0,0.0,1.0
0.8,0.7906976744186096,1.0,0.11734693877551021,3000,0.01250781738586617,0.5924585077917345,0.20930232558139536,0.0,0.017213288308932588,0.04971550624129781,0.08862162451422022,0.0,1.0,0.0,0.0,1.0,0.0
